links-href,name,address,rate,built_up_area,carpet_area,floor_no,type,landmark,booking_amount,washrooms
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-koramangala-bangalore-1765-sq-ft-75-k-1004477.htm,"Commercial Shop for Rent in Koramangala, Bangalore","Koramangala, Bangalore, Karnataka by Square Feet Realtors - View Map","75,000",Built Up Area 1765 Sq.ft.,Ownership Agent,Total Floors 6,Property on Floor 1st,Hospitals .1 kms,6 Lac,Washrooms 1 Bath
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-btm-2nd-stage-bangalore-300-sq-ft-14-000-1049698.htm,"Commercial Shop for Rent in BTM 2nd Stage, Bangalore","BTM 2nd Stage, Bangalore, Karnataka by Raju - View Map","14,000",Built Up Area 300 Sq.ft.,Carpet Area 230 Sq.ft.,Type Commercial Shops,Ownership Individual,Hospitals 1 kms,1.40 Lac,Washrooms 1 Bath
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-challaghatta-bangalore-400-sq-ft-15-000-1035383.htm,"Commercial Shop for Rent in Challaghatta, Bangalore","Challaghatta, Bangalore, Karnataka by Tejash Reddy - View Map","15,000",Built Up Area 400 Sq.ft.,Ownership Individual,null,Property on Floor Ground,Shopping Mall 1.8 kms,"50,000",Washrooms 1 Bath
https://www.realestateindia.com/property-detail/showrooms-for-rent-in-jakkur-bangalore-2050-sq-ft-70-000-1052064.htm,"Showroom for Rent in Jakkur, Bangalore","Jakkur, Bangalore, Karnataka by Sushma S - View Map","70,000",Built Up Area 2050 Sq.ft.,Carpet Area 1676 Sq.ft.,Property on Floor Ground,Type Showrooms,Airport 20 kms,5 Lac,Washrooms 1 Bath
https://www.realestateindia.com/property-detail/showrooms-for-rent-in-jakkur-bangalore-2050-sq-ft-70-000-1052064.htm,"Showroom for Rent in Jakkur, Bangalore","Jakkur, Bangalore, Karnataka by Sushma S - View Map","70,000",Built Up Area 2050 Sq.ft.,Carpet Area 1676 Sq.ft.,Property on Floor Ground,Type Showrooms,ATM .25 kms,5 Lac,Washrooms 1 Bath
https://www.realestateindia.com/property-detail/showrooms-for-rent-in-jayanagar-bangalore-1590-sq-ft-35-000-1051775.htm,"Showroom for Rent in Jayanagar, Bangalore","Jayanagar, Bangalore, Karnataka by Mallikarjun M G - View Map","35,000",Built Up Area 1590 Sq.ft.,Carpet Area 1450 Sq.ft.,Property on Floor Ground,Type Showrooms,Railway Station 2.5 kms,3 Lac,Washrooms 1 Bath
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-ramamurthy-bangalore-850-sq-ft-50-k-1017308.htm,Commercial Shop for Rent in Ramamurthy Bangalore,"Ramamurthy Bangalore, Bangalore, Karnataka by Deepak Jain - View Map","50,000",Built Up Area 850 Sq.ft.,Carpet Area 750 Sq.ft.,Property on Floor Ground,Type Commercial Shops,Hospitals 0.5 kms,5 Lac,Washrooms 1 Bath
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-ramamurthy-bangalore-850-sq-ft-50-k-1017308.htm,Commercial Shop for Rent in Ramamurthy Bangalore,"Ramamurthy Bangalore, Bangalore, Karnataka by Deepak Jain - View Map","50,000",Built Up Area 850 Sq.ft.,Carpet Area 750 Sq.ft.,Property on Floor Ground,Type Commercial Shops,Railway Station 2 kms,5 Lac,Washrooms 1 Bath
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-ramaiah-layout-kammanahalli-bangalore-1200-sq-ft-20-000-1039246.htm,"Commercial Shop for Rent in Ramaiah Layout, Kammanahalli, Bangalore","Kammanahalli, Ramaiah Layout, Kammanahalli, Bangalore, Karnataka by Raghavendra - View Map","20,000",Super Area 1200 Sq.ft.,Type Commercial Shops,null,null,,null,Built Up Area 1200 Sq.ft.
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-phase-1-electronic-city-bangalore-4000-sq-ft-1-lac-1029809.htm,"Commercial Shop for Rent in Phase 1, Electronic City, Bangalore","Electronic City, Phase 1, Electronic City, Bangalore, Karnataka by Dr Krishnappa - View Map",1 Lac,Built Up Area 4000 Sq.ft.,Carpet Area 3500 Sq.ft.,Age of Property New Construction,Ownership Individual,Bank 0.5 kms,Semi-Furnished,Washrooms 2 Baths
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-hosa-road-bangalore-600-sq-ft-18-000-1028229.htm,"Commercial Shop for Rent in Hosa Road, Bangalore","Hosa Road, Bangalore, Karnataka by Dhramveer - View Map","18,000",Built Up Area 600 Sq.ft.,Carpet Area 550 Sq.ft.,Property on Floor Ground,Type Commercial Shops,ATM .5 kms,1 Lac,Washrooms 1 Bath
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-challaghatta-bangalore-400-sq-ft-15-000-1035383.htm,"Commercial Shop for Rent in Challaghatta, Bangalore","Challaghatta, Bangalore, Karnataka by Tejash Reddy - View Map","15,000",Built Up Area 400 Sq.ft.,Ownership Individual,null,Property on Floor Ground,ATM 1 kms,"50,000",Washrooms 1 Bath
https://www.realestateindia.com/property-detail/showrooms-for-rent-in-jayanagar-bangalore-1590-sq-ft-35-000-1051775.htm,"Showroom for Rent in Jayanagar, Bangalore","Jayanagar, Bangalore, Karnataka by Mallikarjun M G - View Map","35,000",Built Up Area 1590 Sq.ft.,Carpet Area 1450 Sq.ft.,Property on Floor Ground,Type Showrooms,Hospitals 1.3 kms,3 Lac,Washrooms 1 Bath
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-samethanahalli-bangalore-1934-sq-ft-2-lac-1011863.htm,"Commercial Shop for Rent in Samethanahalli, Bangalore","Samethanahalli, Bangalore, Karnataka by HI-TECH REALTY WAREHOUSE RENTING SERVICES - View Map",2 Lac,Built Up Area 1934 Sq.ft.,Carpet Area 1900 Sq.ft.,Type Commercial Shops,Ownership Agent,Shopping Mall 10 kms,5 Lac,Washrooms 2 Baths
https://www.realestateindia.com/property-detail/commercial-shops-for-rent-in-kadubeesanahalli-bangalore-220-sq-ft-20-000-1037330.htm,"Commercial Shop for Rent in Kadubeesanahalli, Bangalore","Kadubeesanahalli, Bangalore, Karnataka by Syed Abdul Rabbani Bareed - View Map","20,000",Carpet Area 200 Sq.ft.,Ownership Individual,Property on Floor Ground,Project & Society Anwar Layout,Shopping Mall 2 kms,1 Lac,Built Up Area 220 Sq.ft.
https://www.realestateindia.com/property-detail/hotel-restaurant-for-rent-in-basaveshwara-nagar-bangalore-192-sq-ft-1-50-lac-1045224.htm,"Hotels for Rent in Basaveshwara Nagar, Bangalore","Basaveshwara Nagar, Bangalore, Karnataka by Sandhya M - View Map",1.50 Lac,Carpet Area 192 Sq.ft.,Super Area 192 Sq.ft.,Property on Floor Ground,Type Hotels,School O.2 kms,Ready to Move,Built Up Area 192 Sq.ft.
