web-scraper-order,web-scraper-start-url,links,links-href,reat_name,address,cuisine,type,avg_cost,bestselling_items,facilities_features,contact,ratings,reviesws,votes,timing,pages,pages-href
"1655584702-5062","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=88","The History Pub","https://www.dineout.co.in/bangalore/the-history-pub-kengeri-west-bangalore-106374","The History Pub","Kengeri |","North Indian","Nightlife","1,600 for two people","Shell Mushroom, Sesame Chicken Fingers, Lazeez Paneer, Murgh Malai, A Killer Mac n Cheese.","Smoking Area","07624800332","5","null","null","Time:  (Opens at 11:00 AM)Sunday11:00 AM to 12:00 AMMonday11:00 AM to 12:00 AMTuesday11:00 AM to 12:00 AMWednesday11:00 AM to 12:00 AMThursday11:00 AM to 12:00 AMFriday11:00 AM to 12:00 AMSaturday11:00 AM to 12:00 AM","",""
"1655581790-4506","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=115","Wabi Sabi","https://www.dineout.co.in/bangalore/wabi-sabi-mg-road-central-bangalore-82747","Wabi Sabi","The Oberoi Hotel |","Asian","5 Star, Fine Dining","4,200 for two people","null","Air Conditioned","08025585858","4.5","null","1 Votes","Time:  (Opens at 12:30 PM)Sunday12:30 PM to 03:00 PMSunday07:00 PM to 11:30 PMMonday12:30 PM to 03:00 PMMonday07:00 PM to 11:30 PMTuesday12:30 PM to 03:00 PMTuesday07:00 PM to 11:30 PMWednesday12:30 PM to 03:00 PMWednesday07:00 PM to 11:30 PMThursday12:30 PM to 03:00 PMThursday07:00 PM to 11:30 PMFriday12:30 PM to 03:00 PMFriday07:00 PM to 11:30 PMSaturday12:30 PM to 03:00 PMSaturday07:00 PM to 11:30 PM","",""
"1655591991-6346","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=27","Go Native","https://www.dineout.co.in/bangalore/go-native-hsr-layout-south-bangalore-56511","Go Native","HSR Layout |","Health Food","Casual Dining","800 for two people","Millet Pizza, BBQ Raw Jackfruit Biryani, Spicy Mango Red Curry, Methi Palak Paneer Desi Sizzler, Soppu Neer Dosa.","Air Conditioned","07501084914","4.2","6 reviews","43 Votes","Time:  (Opens at 08:30 AM)Sunday08:30 AM to 09:30 PMMonday08:30 AM to 09:30 PMTuesday08:30 AM to 09:30 PMWednesday08:30 AM to 09:30 PMThursday08:30 AM to 09:30 PMFriday08:30 AM to 09:30 PMSaturday08:30 AM to 09:30 PM","",""
"1655584777-5078","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=87","Artinci-Real Ice Cream","https://www.dineout.co.in/bangalore/artinci-real-ice-cream-whitefield-east-bangalore-50464","Artinci-Real Ice Cream","Whitefield |","Desserts","QSR, Dessert Parlour","400 for two people","null","Air Conditioned","08660691998","4","1 reviews","2 Votes","Time:  (Opens at 12:00 PM)Sunday12:00 PM to 12:00 AMMonday12:00 PM to 12:00 AMTuesday12:00 PM to 12:00 AMWednesday12:00 PM to 12:00 AMThursday12:00 PM to 12:00 AMFriday12:00 PM to 12:00 AMSaturday12:00 PM to 12:00 AM","",""
"1655567407-2354","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=217","McDonald's","https://www.dineout.co.in/bangalore/mcdonalds-bannerghatta-road-south-bangalore-10985","McDonald's","Royal Meenakshi Mall |","Fast Food","QSR","500 for two people","null","Air Conditioned","07204359077","4.5","null","2 Votes","Time: 10:30 AM to 10:30 PM (Open Now)Sunday10:30 AM to 10:30 PMMonday10:30 AM to 10:30 PMTuesday10:30 AM to 10:30 PMWednesday10:30 AM to 10:30 PMThursday10:30 AM to 10:30 PMFriday10:30 AM to 10:30 PMSaturday10:30 AM to 10:30 PM","",""
"1655580291-4183","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=130","MISU","https://www.dineout.co.in/bangalore/misu-indiranagar-east-bangalore-50048","MISU","Indiranagar |","Asian","Casual Dining","1,600 for two people","null","Air Conditioned","080-25200055","3.3","4 reviews","10 Votes","Time:  (Opens at 11:30 AM)Sunday11:30 AM to 10:30 PMMonday11:30 AM to 10:30 PMTuesday11:30 AM to 10:30 PMWednesday11:30 AM to 10:30 PMThursday11:30 AM to 10:30 PMFriday11:30 AM to 10:30 PMSaturday11:30 AM to 10:30 PM","",""
"1655566090-2117","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=228","Just Bake","https://www.dineout.co.in/bangalore/just-bake-nagawara-north-bangalore-10153","Just Bake","Manyata Embassy Business Tech Park |","Desserts","QSR, Bakery","400 for two people","null","null","09844343406","1","1 reviews","1 Votes","Time: 10:00 AM to 09:30 PM (Open Now)Sunday10:00 AM to 09:30 PMMonday10:00 AM to 09:30 PMTuesday10:00 AM to 09:30 PMWednesday10:00 AM to 09:30 PMThursday10:00 AM to 09:30 PMFriday10:00 AM to 09:30 PMSaturday10:00 AM to 09:30 PM","",""
"1655580837-4299","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=125","Peacock","https://www.dineout.co.in/bangalore/peacock-indiranagar-east-bangalore-1029","Peacock","Indiranagar |","North Indian","Casual Dining","1,200 for two people","Chilli Gobi, Murgh Malai, Sev Puri, Dahi Puri, Mutton Rogan Josh, Chaat","Air Conditioned","09686377553","4.4","8 reviews","46 Votes","Time:  (Opens at 12:00 PM)Sunday12:00 PM to 03:30 PMSunday07:00 PM to 11:00 PMMonday12:00 PM to 03:30 PMMonday07:00 PM to 11:00 PMTuesday12:00 PM to 03:30 PMTuesday07:00 PM to 11:00 PMWednesday12:00 PM to 03:30 PMWednesday07:00 PM to 11:00 PMThursday12:00 PM to 03:30 PMThursday07:00 PM to 11:00 PMFriday12:00 PM to 03:30 PMFriday07:00 PM to 11:00 PMSaturday12:00 PM to 03:30 PMSaturday07:00 PM to 11:00 PM","",""
"1655566957-2254","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=222","Biryani Junction","https://www.dineout.co.in/bangalore/biryani-junction-bommanahalli-south-bangalore-69537","Biryani Junction","Bommanahalli |","North Indian","QSR","600 for two people","null","Home Delivery","07259100489","null","null","null","Time: 07:00 PM to 02:00 AM (Open Now)Sunday11:00 AM to 04:00 PMSunday07:00 PM to 02:00 AMMonday11:00 AM to 04:00 PMMonday07:00 PM to 02:00 AMTuesday11:00 AM to 04:00 PMTuesday07:00 PM to 02:00 AMWednesday11:00 AM to 04:00 PMWednesday07:00 PM to 02:00 AMThursday11:00 AM to 04:00 PMThursday07:00 PM to 02:00 AMFriday11:00 AM to 04:00 PMFriday07:00 PM to 02:00 AMSaturday11:00 AM to 04:00 PMSaturday07:00 PM to 02:00 AM","",""
"1655562362-1430","https://www.dineout.co.in/bangalore-restaurants?search_str=bangalore&p=261","Mojo Pizza","https://www.dineout.co.in/bangalore/mojo-pizza-sarjapur-road-south-bangalore-36140","Mojo Pizza","Sarjapur Road |","Pizza","QSR","600 for two people","null","Home Delivery","033252828","null","null","null","Time: 11:00 AM to 01:00 AM (Open Now)Sunday11:00 AM to 01:00 AMMonday11:00 AM to 01:00 AMTuesday11:00 AM to 01:00 AMWednesday11:00 AM to 01:00 AMThursday11:00 AM to 01:00 AMFriday11:00 AM to 01:00 AMSaturday11:00 AM to 01:00 AM","",""
