Pages,Pages-href,rent_per_month,address,carpet_area_sqft,floor_no,washrooms,places_nearby,property_age
2,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-2,null,null,null,null,null,null,null
,,null,null,null,null,null,null,null
,,null,"in Surabhi Nagar, JPnagar 8h phase, , Bangalore South, Bangalore",550,Ground,Private Washrooms available,null,5 to 10 Year Old
5,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-5,"40,000","in Dickenson Road, , Bangalore Central, Bangalore",500,null,"5 washrooms available (1 private, 4 shared)",Citibank ATM,null
,,null,null,null,null,null,null,null
2,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-2,null,null,null,null,null,null,null
,,null,null,null,null,null,null,null
,,null,null,null,null,null,null,null
5,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-5,"60,000","in M.G Road, , Bangalore Central, Bangalore",700,null,"3 washrooms available (1 private, 2 shared)",Trinity metro station,null
2,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-2,null,null,null,null,null,null,null
4,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-4,1.35 Lac,"in POSH COMMERCIAL COMPLEX , M.G Road, , Bangalore Central, Bangalore",2000,null,2 private washrooms available,State bank of india ATM,null
5,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-5,1 Lac,"in IT TECHPARK , Whitefield, , Bangalore East, Bangalore",2000,null,2 private washrooms available,Looking Good Furniture,null
2,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-2,null,null,null,null,null,null,null
2,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-2,null,null,null,null,null,null,null
5,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-5,"50,000","in HAL 2nd Stage, , Bangalore East, Bangalore",450,null,1 shared washroom available,Foursquare Gospel Church,null
,,null,null,null,null,null,null,null
4,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-4,null,null,null,null,null,null,null
4,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-4,null,null,null,null,null,null,null
5,https://www.99acres.com/commercial-property-for-rent-in-bangalore-below-1-point-5-lakhs-ffid-page-5,"60,000","in Sahakara Nagar, , Bangalore North, Bangalore",null,null,Walls are plastered walls and doors are in place,Sri Gavreyanna Sidheshwara Swamy Temple,null
